羅馬字	漢字	頻率
po	玻	3
poh	剝	3
poh	北	2
poh	博	2
pong	崩	1
pu	布	9
pu	補	2
pu	譜	5
pun	半	3
pun	搬	11
pæn	扳	1
pæn	斑	1
pæn	班	65
pæn	畈	1
pæn	瘢	6
pô	巴	52
pô	把	110
pô	疤	6
pô	霸	3
pông	幫	3
pông	邦	2
pʽa	派	6
pʽang	乓	2
pʽang	烹	2
pʽao	帕	3
pʽe	配	1
pʽeo	剖	1
pʽi	批	2
pʽih	劈	1
pʽin	騙	3
pʽing	聘	1
pʽo	破	11
pʽoh	撲	1
pʽoh	樸	1
pʽong	捧	3
pʽong	碰	29
pʽun	判	7
pʽô	怕	57
r	珥	34
s	使	119
s	司	17
s	四	36
s	始	3
s	師	2
s	思	6
s	斯	8
s	獅	3
s	私	1
s	試	4
s	賜	82
sa	曬	3
sah	撒	183
sah	殺	21
sah	煞	20
sah	薩	8
sang	牲	61
sang	生	244
sang	甥	3
sao	嫂	2
sao	掃	84
sao	燥	7
se	祟	1
se	雖	5
seh	塞	6
seh	瑟	188
seh	色	56
seng	孫	23
seng	生	4
seng	遜	2
seo	搜	2
seo	瘦	10
shih	失	1
shih	設	24
shih	說	63
shoh	束	4
shoh	縮	1
shæ	捨	1
shông	傷	4
shông	商	2
shông	爽	1
shông	雙	2
shü	世	33
shü	势	1
shü	勢	1
shü	恕	3
shü	書	9
shü	歲	70
shü	水	86
si	世	2
si	婿	3
si	死	78
si	洗	16
si	細	6
si	西	106
siang	商	7
siang	想	7
siang	相	28
siao	小	80
siao	少	9
siao	燒	1
siao	稍	1
siao	笑	10
sih	息	3
sih	悉	8
sih	惜	12
sih	泄	1
sih	薛	3
sih	識	4
sih	飾	1
sin	先	14
sin	線	3
sin	閃	14
sin	鮮	1
sing	伸	8
sing	信	2
sing	勝	3
sing	升	3
sing	姓	33
sing	心	41
sing	性	26
sing	新	12
sing	星	135
sing	聲	17
sing	身	82
sing	辛	2
sing	醒	1
siu	守	6
siu	宿	4
siu	手	105
siu	收	16
siu	獸	17
siu	繡	3
siu	首	1
so	瑣	11
soh	啥	41
soh	宿	10
soh	束	1
soh	速	5
song	松	2
song	送	29
su	愫	2
su	數	12
su	疏	2
su	素	6
su	蔬	8
su	蘇	1
su	訴	11
sæn	三	63
sæn	山	53
sæn	散	7
sæn	珊	17
sæn	省	10
sæn	衫	1
sô	恕	1
sô	所	215
sô	捨	4
sô	沙	12
sông	傷	9
sông	喪	6
sông	孀	1
sông	賞	1
sông	霜	1
sön	算	9
ta	帶	54
ta	戴	1
tah	搭	10
tang	打	38
tao	倒	32
tao	刀	4
tao	到	263
tao	禱	6
te	堆	8
te	對	30
teh	啄	2
teh	得	282
teh	德	3
teh	答	20
teng	等	783
teng	頂	17
teng	頓	3
teo	抖	1
ti	帝	2
ti	底	34
ti	抵	3
tia	爹	197
tiao	吊	3
tiao	鳥	10
tih	滴	1
tih	的	19
tih	跌	1
tin	點	32
ting	丁	1
ting	盯	1
ting	頂	40
tiu	丟	3
to	多	71
to	朵	1
to	躲	3
toh	督	4
tong	冬	1
tong	凍	1
tong	東	141
ts	之	18
ts	仔	32
ts	址	3
ts	子	644
ts	指	14
ts	支	5
ts	枝	12
ts	止	1
ts	滋	3
ts	煮	2
ts	籽	7
tsah	只	3
tsah	扎	4
tsah	摘	5
tsah	責	3
tsah	隻	33
tsang	爭	11
tsao	早	8
tsao	遭	35
tse	追	5
tse	醉	1
tseng	尊	2
tseo	奏	4
tseo	走	191
tsi	妻	1
tsi	姊	13
tsi	擠	1
tsi	祭	25
tsi	𣥼	3
tsia	借	7
tsia	者	13
tsiah	爵	7
tsiang	仗	2
tsiang	將	23
tsiang	帳	28
tsiang	漲	2
tsiang	賬	1
tsiang	長	15
tsiao	照	53
tsih	即	5
tsih	只	40
tsih	接	41
tsih	汁	2
tsih	積	7
tsih	節	3
tsih	職	3
tsin	佔	3
tsin	剪	3
tsin	箭	4
tsin	節	1
tsin	薦	1
tsing	井	29
tsing	征	1
tsing	政	9
tsing	整	2
tsing	枕	2
tsing	正	14
tsing	浸	2
tsing	珍	1
tsing	真	3
tsing	睛	24
tsing	證	9
tsing	進	47
tsiu	周	17
tsiu	咒	40
tsiu	晝	3
tsiu	酒	32
tso	做	271
tsoh	作	6
tsoh	摘	1
tsoh	足	13
tsong	宗	20
tsong	總	47
tsu	祖	21
tsu	阻	2
tsæ	再	51
tsæ	宰	2
tsæ	災	2
tsæ	載	3
tsæn	讚	5
tsæn	趲	1
tsô	榨	1
tsô	遮	4
tsông	妝	1
tsông	葬	29
tsông	裝	2
tsʽ	刺	1
tsʽ	次	1
tsʽ	此	9
tsʽ	雌	23
tsʽ	齒	1
tsʽa	差	37
tsʽah	察	4
tsʽang	撐	1
tsʽao	草	28
tsʽe	催	2
tsʽeh	漆	1
tsʽeng	忖	6
tsʽeng	村	1
tsʽeo	湊	7
tsʽi	妻	111
tsʽi	悽	6
tsʽi	棲	6
tsʽia	且	37
tsʽiang	搶	2
tsʽiao	俏	1
tsʽih	七	78
tsʽih	切	23
tsʽin	千	4
tsʽing	清	2
tsʽing	稱	7
tsʽing	親	25
tsʽing	請	58
tsʽing	青	3
tsʽiu	抽	1
tsʽiu	臭	1
tsʽo	錯	6
tsʽoh	錯	1
tsʽong	聰	4
tsʽu	初	3
tsʽu	楚	3
tsʽæ	菜	8
tsʽæ	餐	1
tsʽæn	產	23
tsʽô	岔	1
tsʽô	差	2
tsʽô	汊	1
tsʽô	車	7
tsʽông	倉	1
tsʽông	創	12
tsʽông	唱	1
tsʽông	蒼	5
tu	睹	3
tu	都	157
tæn	丹	3
tæn	單	15
tæn	帶	14
tæn	耽	21
tæn	膽	1
tô	朵	3
tông	擋	2
tông	當	37
tông	黨	2
tön	斷	9
tön	短	1
tön	端	2
tʽa	他	8
tʽa	太	1
tʽa	拖	3
tʽah	埭	3
tʽah	塔	4
tʽah	撻	3
tʽah	𡍲	5
tʽao	套	2
tʽao	討	7
tʽe	推	1
tʽe	腿	8
tʽe	退	6
tʽeh	脫	4
tʽen	探	7
tʽeng	吞	8
tʽeng	氽	2
tʽeo	偷	10
tʽi	剃	1
tʽi	替	1
tʽi	體	8
tʽiah	帖	2
tʽiao	糶	3
tʽiao	跳	1
tʽih	鐵	5
tʽin	天	90
tʽing	聽	61
tʽoh	托	1
tʽoh	託	3
tʽong	慟	1
tʽong	痛	2
tʽong	統	6
tʽong	通	19
tʽu	土	44
tʽæ	梯	1
tʽæ	胎	18
tʽæn	坦	11
tʽô	湯	1
tʽông	倘	1
tʽön	彖	1
u	惡	2
u	污	5
u	烏	4
vah	乏	2
vah	伐	1
vah	罰	33
veh	乏	2
veh	物	28
veng	份	28
veng	分	3
veng	墳	10
veng	文	14
veng	紋	8
vi	微	4
vi	未	11
voh	伏	1
voh	復	1
voh	服	25
vong	甮	10
vong	縫	2
vu	婦	13
vu	武	3
vu	浮	1
vu	無	2
vu	父	1
vu	霧	1
væn	凡	51
væn	煩	1
væn	燔	3
væn	犯	7
væn	萬	7
væn	藩	10
væn	飯	5
vông	亡	1
vông	房	3
vông	望	1
wa	還	110
wah	滑	2
wang	橫	2
we	位	15
we	回	21
we	圍	1
we	惠	26
we	慧	2
we	會	251
we	爲	194
we	衛	6
we	違	1
weh	活	38
weh	𣝗	3
weng	混	2
weng	魂	1
wu	乎	1
wu	戶	9
wu	湖	7
wun	完	6
wun	換	6
wæ	壞	6
wæ	懷	6
wæn	還	21
wô	華	173
wô	話	662
wông	喤	6
wông	惶	2
wông	旺	9
wông	王	89
wông	皇	1
wông	磺	1
w̆a	壞	4
w̆e	委	3
w̆e	威	2
w̆e	慰	7
w̆e	穢	4
w̆eng	穩	6
w̆æn	娃	1
w̆ô	娃	3
w̆ông	往	3
yi	以	391
yi	又	129
yi	姨	8
yi	已	65
yi	易	1
yi	義	13
yi	遺	1
yia	也	133
yia	呀	3
yia	夜	44
yia	爺	2
yia	野	13
yiah	藥	4
yiang	垟	48
yiang	揚	2
yiang	楊	1
yiang	樣	27
yiang	洋	1
yiang	羊	89
yiang	養	11
yih	亦	1
yih	葉	3
yin	延	3
yin	沿	19
yin	現	19
yin	言	2
yin	鹽	6
ying	刑	3
ying	引	3
ying	淫	1
ying	盈	2
yiu	佑	6
yiu	又	8
yiu	友	3
yiu	有	335
yiu	油	7
yiu	猶	32
yiu	誘	2
yiæ	埃	104
yiæ	耶	178
yü	愈	6
yü	於	1
yü	與	3
yü	雨	4
yü	預	2
yü	餘	6
yüih	抈	2
yüih	月	13
yüih	穴	12
yüing	孕	7
yüing	運	1
yüing	雲	4
yün	園	15
yün	緣	5
yün	遠	19
yüong	傭	1
yüong	容	2
yüong	榮	2
yüong	用	43
yüong	雄	18
yüô	夏	20
yüô	雅	249
z	㖷	4
z	事	61
z	侍	26
z	士	29
z	字	82
z	是	684
z	時	106
z	示	29
z	自	1
za	寨	1
za	柴	5
za	豺	1
zah	石	17
zah	賊	1
zah	𧼰	2
zao	槽	3
zao	造	54
ze	罪	16
ze	隨	7
zeng	層	1
zi	自	86
zia	謝	3
ziah	若	60
ziang	像	53
ziang	匠	2
ziang	橡	6
ziang	牆	1
zih	射	3
zih	席	1
zih	食	28
zin	前	115
zing	尋	23
zing	曾	25
zing	淨	9
zing	甚	1
zing	盛	27
ziu	受	45
ziu	壽	18
ziu	就	394
zo	坐	12
zo	座	12
zô	昨	3
zông	上	129
zông	晌	1
zông	牀	33
zông	裳	29
æ	哀	4
æ	愛	12
ô	丫	36
ô	啞	6
ô	椏	12
ô	鴉	1
ôh	惡	23
ông	怏	4
ü	於	3
ü	餵	9
ün	怨	4
üong	勇	4
üong	擁	1
üong	永	13
üô	亞	447
ʽa	鞋	1
ʽah	何	15
ʽang	杏	2
ʽang	行	9
ʽao	號	15
ʽeh	合	3
ʽeh	轄	9
ʽen	含	11
ʽen	咸	20
ʽen	旱	1
ʽen	汗	1
ʽeng	恆	2
ʽeng	恨	10
ʽeng	痕	1
ʽeo	候	103
ʽeo	厚	6
ʽeo	後	146
ʽo	何	18
ʽo	和	174
ʽo	河	20
ʽo	禍	1
ʽoh	惑	1
ʽoh	或	1
ʽong	洪	15
ʽong	紅	8
ʽæ	亥	2
ʽæ	害	29
ʽæn	限	2
ʽô	下	57
ʽô	嗄	4
ʽô	夏	1
ʽôh	或	12
