羅馬字	漢字	頻率
tsah	隻	4
tsao	早	5
tsao	糟	1
tsao	遭	16
tseo	奏	1
tseo	走	42
tsi	嚌	1
tsi	𣥼	1
tsia	者	11
tsiang	仗	1
tsiang	將	4
tsiang	張	3
tsiao	焦	1
tsiao	照	17
tsiao	蕉	1
tsih	即	17
tsih	只	45
tsih	接	2
tsih	節	16
tsih	脊	1
tsin	剪	4
tsin	氈	1
tsin	煎	1
tsin	節	5
tsing	整	2
tsing	正	10
tsing	真	64
tsing	睛	4
tsing	證	1
tsing	進	14
tsiu	晝	1
tsiu	週	1
tsiu	酒	1
tso	做	69
tsoh	作	3
tsoh	摘	1
tsoh	足	1
tsong	宗	3
tsong	棕	1
tsong	種	1
tsong	總	28
tsu	祖	3
tsu	阻	1
tsæ	再	18
tsæn	嶄	5
tsæn	讚	5
tsô	遮	1
tsông	章	16
tsông	葬	1
tsông	裝	1
tsʽ	此	1
tsʽa	差	2
tsʽah	冊	1
tsʽang	撐	7
tsʽao	抄	1
tsʽao	草	1
tsʽeng	忖	59
tsʽeng	村	1
tsʽeng	襯	1
tsʽeo	湊	1
tsʽia	且	9
tsʽih	七	3
tsʽing	清	3
tsʽing	稱	3
tsʽing	親	4
tsʽing	請	6
tsʽing	趁	1
tsʽing	青	1
tsʽiu	抽	2
tsʽo	錯	2
tsʽoh	簇	5
tsʽong	聰	1
tsʽu	初	1
tsʽu	楚	2
tsʽæ	猜	1
tsʽæ	睬	2
tsʽô	岔	3
tsʽô	差	1
tsʽô	瘥	1
tsʽô	車	4
tsʽông	創	2
tsʽông	唱	6
tu	都	36
tæ	歹	3
tæn	單	1
tæn	帶	6
tæn	耽	2
tæn	膽	1
tô	打	1
tông	擋	2
tông	當	12
tön	端	1
tʽa	太	3
tʽah	脫	1
tʽah	遢	1
tʽah	𡍲	4
tʽao	討	2
tʽe	推	1
tʽeh	忒	1
tʽeo	㪗	1
tʽeo	偷	10
tʽi	替	1
tʽi	體	5
tʽiah	帖	2
tʽin	天	37
tʽing	廳	2
tʽing	聽	48
tʽong	痛	5
tʽu	土	2
tʽæ	梯	1
tʽæ	胎	2
tʽæn	毯	1
tʽôh	託	2
u	惡	3
u	烏	19
vah	伐	1
vah	佛	1
vah	罰	5
ve	𣍐	20
veh	佛	1
veng	份	3
veng	分	4
veng	墳	4
veng	文	1
vi	微	3
vi	未	1
voh	復	1
vong	甮	13
vong	縫	1
vu	乎	1
vu	武	1
vu	父	5
væn	凡	6
væn	犯	11
væn	飯	6
vông	房	13
vông	望	2
wa	還	35
wah	劃	1
we	位	15
we	回	16
we	惠	12
we	慧	1
we	會	86
we	爲	64
weh	活	12
weng	魂	4
wu	乎	1
wu	糊	1
wun	完	4
wun	換	1
wæn	環	1
wæn	還	2
wô	華	3
wô	話	180
wông	惶	6
wông	潢	1
wông	皇	1
wông	黃	3
w̆a	壞	11
w̆e	慰	2
w̆æn	彎	3
w̆æn	灣	1
w̆ô	娃	2
w̆ông	往	1
yi	以	12
yi	又	28
yi	已	13
yi	易	2
yi	義	1
yia	也	79
yia	夜	22
yia	耶	1
yia	野	1
yiah	藥	2
yiang	垟	4
yiang	樣	37
yiang	羊	1
yih	譯	1
yin	沿	5
yin	現	4
ying	刑	5
ying	引	1
ying	行	1
yiu	友	5
yiu	有	127
yiu	由	1
yiu	遊	1
yiæ	耶	47
yü	愈	1
yü	雨	2
yü	預	1
yüih	月	6
yün	園	2
yün	縣	2
yün	遠	9
yüoh	慾	1
yüong	傭	3
yüong	容	2
yüong	榮	2
yüong	用	11
yüô	㗇	1
yüô	夏	2
yüô	雅	2
z	事	35
z	字	20
z	市	5
z	是	260
z	時	94
z	自	4
za	豺	1
zah	石	3
zao	造	10
ze	罪	42
ze	隨	10
zi	自	41
zi	齊	100
zia	謝	11
zia	邪	1
ziah	弱	3
ziah	若	17
ziang	像	23
zih	蓆	1
zih	食	1
zin	前	19
zin	賤	1
zing	乘	2
zing	尋	7
zing	曾	7
zing	淨	8
zing	盛	1
zing	盡	1
zing	辰	2
zing	靜	2
ziu	受	8
ziu	就	82
zo	坐	22
zo	座	1
zæ	材	1
zæ	裁	1
zô	昨	1
zông	上	46
zông	尚	3
zông	晌	3
zông	牀	6
zông	裳	5
æ	唉	2
æ	愛	10
ô	哦	6
ô	𢛟	4
ôh	屋	1
ôh	惡	18
ông	怏	2
ü	於	1
üong	永	19
üô	㗇	4
üô	亞	4
ʽa	鞋	1
ʽah	何	4
ʽang	行	3
ʽao	號	1
ʽeh	合	1
ʽen	含	1
ʽen	翰	8
ʽeng	恆	4
ʽeo	候	69
ʽeo	後	39
ʽo	和	11
ʽo	河	5
ʽoh	學	2
ʽoh	或	10
ʽong	紅	2
ʽæ	嗐	4
ʽæ	害	5
ʽæn	閒	1
ʽæn	限	1
ʽô	下	12
ʽô	嗄	15
ʽôh	學	1
ʽôh	惑	2
ʽôh	或	1
ʽông	行	1
